datetime,open,high,low,close,volume
2026-05-14 09:55:00-04:00,29609.0,29624.75,29526.75,29541.75,12202
2026-05-14 10:00:00-04:00,29542.0,29616.75,29533.0,29595.0,11939
2026-05-14 10:05:00-04:00,29596.25,29605.5,29541.5,29550.5,8544
2026-05-14 10:10:00-04:00,29549.5,29594.5,29537.5,29583.75,8099
2026-05-14 10:15:00-04:00,29583.0,29640.0,29578.25,29635.5,7534
2026-05-14 10:20:00-04:00,29634.75,29666.5,29620.75,29629.25,9206
2026-05-14 10:25:00-04:00,29630.5,29636.5,29595.5,29623.0,6238
2026-05-14 10:30:00-04:00,29622.25,29633.75,29607.0,29632.25,4491
2026-05-14 10:35:00-04:00,29632.75,29679.25,29623.75,29677.5,6320
2026-05-14 10:40:00-04:00,29677.75,29686.75,29664.5,29686.25,5343
2026-05-14 10:45:00-04:00,29686.5,29708.0,29684.0,29706.25,7746
2026-05-14 10:50:00-04:00,29706.25,29730.0,29682.25,29699.0,7768
2026-05-14 10:55:00-04:00,29699.5,29707.75,29664.0,29674.25,5705
2026-05-14 11:00:00-04:00,29674.75,29707.0,29665.0,29682.75,5019
2026-05-14 11:05:00-04:00,29681.75,29719.25,29676.75,29718.25,3839
2026-05-14 11:10:00-04:00,29717.5,29734.5,29706.25,29733.0,3919
2026-05-14 11:15:00-04:00,29733.25,29758.5,29731.75,29752.25,6077
2026-05-14 11:20:00-04:00,29751.5,29767.75,29737.75,29754.0,6225
2026-05-14 11:25:00-04:00,29754.5,29773.75,29752.0,29756.75,5610
2026-05-14 11:30:00-04:00,29756.75,29770.0,29736.75,29744.75,4379
2026-05-14 11:35:00-04:00,29744.5,29755.0,29727.75,29741.75,4170
2026-05-14 11:40:00-04:00,29742.25,29755.75,29729.5,29752.0,3605
2026-05-14 11:45:00-04:00,29752.25,29754.75,29733.0,29745.75,3183
2026-05-14 11:50:00-04:00,29746.0,29757.5,29740.75,29754.75,2560
2026-05-14 11:55:00-04:00,29754.0,29769.75,29753.25,29755.25,5219
2026-05-14 12:00:00-04:00,29756.0,29772.75,29752.75,29771.75,3004
2026-05-14 12:05:00-04:00,29771.5,29779.25,29761.0,29765.75,3011
2026-05-14 12:10:00-04:00,29765.75,29782.0,29752.5,29756.0,4851
2026-05-14 12:15:00-04:00,29755.75,29778.0,29747.5,29752.5,3300
2026-05-14 12:20:00-04:00,29752.0,29782.0,29750.75,29758.0,4931
2026-05-14 12:25:00-04:00,29757.75,29764.75,29714.5,29727.25,5550
2026-05-14 12:30:00-04:00,29727.5,29743.25,29697.25,29705.5,5960
2026-05-14 12:35:00-04:00,29705.25,29726.75,29705.25,29722.75,3655
2026-05-14 12:40:00-04:00,29722.5,29742.0,29714.0,29719.0,3827
2026-05-14 12:45:00-04:00,29718.0,29739.0,29692.25,29731.75,5100
2026-05-14 12:50:00-04:00,29731.75,29733.75,29704.75,29732.0,3069
2026-05-14 12:55:00-04:00,29732.5,29735.25,29696.0,29728.0,3485
2026-05-14 13:00:00-04:00,29728.25,29754.5,29728.0,29743.75,4892
2026-05-14 13:05:00-04:00,29744.0,29744.5,29686.5,29688.0,4998
2026-05-14 13:10:00-04:00,29687.5,29706.5,29652.0,29660.0,5978
2026-05-14 13:15:00-04:00,29659.25,29670.0,29606.5,29616.25,9509
2026-05-14 13:20:00-04:00,29617.0,29654.25,29615.0,29625.75,6467
2026-05-14 13:25:00-04:00,29626.25,29649.5,29595.25,29648.0,7609
2026-05-14 13:30:00-04:00,29648.25,29674.25,29636.75,29653.25,6247
2026-05-14 13:35:00-04:00,29654.0,29693.25,29652.0,29685.75,4434
2026-05-14 13:40:00-04:00,29685.25,29702.5,29678.75,29697.5,3522
2026-05-14 13:45:00-04:00,29698.5,29736.0,29698.5,29726.5,4617
2026-05-14 13:50:00-04:00,29726.0,29745.75,29721.5,29736.25,3892
2026-05-14 13:55:00-04:00,29736.5,29752.5,29729.75,29731.0,3528
2026-05-14 14:00:00-04:00,29730.75,29730.75,29640.5,29655.0,9581
2026-05-14 14:05:00-04:00,29655.5,29672.0,29648.5,29660.25,4476
2026-05-14 14:10:00-04:00,29661.0,29695.75,29649.25,29690.0,6519
2026-05-14 14:15:00-04:00,29690.25,29708.0,29681.5,29703.75,4478
2026-05-14 14:20:00-04:00,29704.25,29706.5,29670.5,29678.0,3247
2026-05-14 14:25:00-04:00,29677.75,29684.75,29660.25,29673.5,4191
2026-05-14 14:30:00-04:00,29673.75,29698.0,29673.75,29687.5,2986
2026-05-14 14:35:00-04:00,29687.75,29694.5,29674.75,29683.0,2569
2026-05-14 14:40:00-04:00,29683.0,29687.25,29655.0,29673.0,2875
2026-05-14 14:45:00-04:00,29672.75,29689.25,29656.25,29684.5,3221
2026-05-14 14:50:00-04:00,29685.0,29701.75,29684.25,29697.75,3127
2026-05-14 14:55:00-04:00,29698.0,29717.75,29694.75,29708.5,3737
2026-05-14 15:00:00-04:00,29709.0,29732.0,29709.0,29721.25,3731
2026-05-14 15:05:00-04:00,29720.5,29730.0,29703.25,29721.25,2609
2026-05-14 15:10:00-04:00,29721.25,29727.75,29692.5,29706.0,3718
2026-05-14 15:15:00-04:00,29706.75,29717.25,29701.5,29710.75,2650
2026-05-14 15:20:00-04:00,29710.75,29735.0,29709.5,29717.5,4293
2026-05-14 15:25:00-04:00,29717.75,29719.5,29695.25,29698.75,3617
2026-05-14 15:30:00-04:00,29699.5,29723.5,29696.5,29710.25,3120
2026-05-14 15:35:00-04:00,29710.25,29721.5,29701.0,29718.25,3245
2026-05-14 15:40:00-04:00,29718.0,29735.0,29716.75,29727.25,3764
2026-05-14 15:45:00-04:00,29727.5,29731.25,29712.75,29717.25,3322
2026-05-14 15:50:00-04:00,29717.75,29719.0,29690.0,29709.0,7167
2026-05-14 15:55:00-04:00,29709.5,29712.75,29678.5,29686.75,11735
2026-05-14 16:00:00-04:00,29686.75,29737.75,29685.25,29732.0,6604
2026-05-14 16:05:00-04:00,29731.75,29731.75,29704.25,29706.25,1836
2026-05-14 16:10:00-04:00,29707.0,29720.75,29706.75,29709.5,1250
2026-05-14 16:15:00-04:00,29708.25,29711.0,29676.75,29690.25,1587
2026-05-14 16:20:00-04:00,29690.0,29703.25,29674.25,29687.5,840
2026-05-14 16:25:00-04:00,29686.0,29687.5,29677.25,29681.75,520
2026-05-14 16:30:00-04:00,29681.5,29691.75,29678.5,29683.0,611
2026-05-14 16:35:00-04:00,29682.5,29684.5,29650.0,29656.75,1110
2026-05-14 16:40:00-04:00,29657.25,29668.0,29633.75,29659.25,1109
2026-05-14 16:45:00-04:00,29659.25,29671.5,29657.5,29671.5,732
2026-05-14 16:50:00-04:00,29671.75,29674.75,29661.75,29670.75,582
2026-05-14 16:55:00-04:00,29671.0,29688.5,29670.0,29688.5,448
2026-05-14 18:00:00-04:00,29690.0,29718.0,29674.25,29706.25,0
2026-05-14 18:05:00-04:00,29706.0,29718.0,29691.0,29693.75,690
2026-05-14 18:10:00-04:00,29694.25,29697.5,29687.75,29694.25,384
2026-05-14 18:15:00-04:00,29693.75,29694.5,29670.0,29682.5,693
2026-05-14 18:20:00-04:00,29683.0,29688.25,29678.5,29683.25,285
2026-05-14 18:25:00-04:00,29684.25,29700.0,29684.0,29698.75,433
2026-05-14 18:30:00-04:00,29698.25,29711.25,29697.5,29706.25,460
2026-05-14 18:35:00-04:00,29705.5,29710.0,29701.75,29705.5,182
2026-05-14 18:40:00-04:00,29703.75,29710.5,29702.25,29707.75,141
2026-05-14 18:45:00-04:00,29707.5,29717.75,29705.25,29710.5,285
2026-05-14 18:50:00-04:00,29710.0,29712.0,29704.75,29708.0,213
2026-05-14 18:55:00-04:00,29707.5,29720.5,29705.5,29708.5,355
2026-05-14 19:00:00-04:00,29708.5,29717.25,29707.75,29715.0,259
2026-05-14 19:05:00-04:00,29715.0,29717.25,29705.75,29708.25,242
2026-05-14 19:10:00-04:00,29709.0,29719.0,29709.0,29718.5,212
2026-05-14 19:15:00-04:00,29717.0,29720.0,29712.5,29717.5,258
2026-05-14 19:20:00-04:00,29717.25,29718.5,29708.5,29712.0,195
2026-05-14 19:25:00-04:00,29709.0,29726.25,29705.75,29724.25,461
2026-05-14 19:30:00-04:00,29724.5,29731.25,29723.75,29729.25,397
2026-05-14 19:35:00-04:00,29728.0,29734.0,29723.0,29725.0,310
2026-05-14 19:40:00-04:00,29726.5,29727.25,29715.75,29718.0,403
2026-05-14 19:45:00-04:00,29718.0,29718.75,29692.75,29698.75,839
2026-05-14 19:50:00-04:00,29697.75,29704.75,29692.75,29696.5,407
2026-05-14 19:55:00-04:00,29695.75,29697.0,29674.75,29687.5,716
2026-05-14 20:00:00-04:00,29687.0,29696.0,29655.75,29671.5,1454
2026-05-14 20:05:00-04:00,29669.75,29696.75,29669.0,29693.5,771
2026-05-14 20:10:00-04:00,29693.0,29700.0,29679.75,29700.0,622
2026-05-14 20:15:00-04:00,29700.75,29720.5,29699.0,29717.25,833
2026-05-14 20:20:00-04:00,29718.0,29724.25,29715.0,29723.0,558
2026-05-14 20:25:00-04:00,29722.75,29727.0,29714.0,29720.75,503
2026-05-14 20:30:00-04:00,29721.5,29721.75,29703.75,29709.25,589
2026-05-14 20:35:00-04:00,29708.5,29712.0,29669.25,29683.25,809
2026-05-14 20:40:00-04:00,29682.0,29686.25,29636.5,29662.0,1465
2026-05-14 20:45:00-04:00,29662.5,29679.25,29662.25,29677.5,502
